05062024
Symbol,Month type,Symbol Type,Step Value,No. of Strikes Provided (ITM),No. of Strikes Provided (ATM),No. of Strikes Provided (OTM),Total Strikes including reserve (ITM),Total Strikes including reserve (ATM),Total Strikes including reserve (OTM)
AARTIIND,M1,EQUITY,10,6,1,6,18,1,18
AARTIIND,M1,EQUITY,20,5,1,5,15,1,15
AARTIIND,M2,EQUITY,10,6,1,6,18,1,18
AARTIIND,M2,EQUITY,20,5,1,5,15,1,15
AARTIIND,M3,EQUITY,40,2,1,2,6,1,6
AARTIIND,M3,EQUITY,20,3,1,3,9,1,9
ABB,M1,EQUITY,50,11,1,11,33,1,33
ABB,M1,EQUITY,100,8,1,8,24,1,24
ABB,M2,EQUITY,50,11,1,11,33,1,33
ABB,M2,EQUITY,100,8,1,8,24,1,24
ABB,M3,EQUITY,200,4,1,4,12,1,12
ABB,M3,EQUITY,100,6,1,6,18,1,18
ABBOTINDIA,M1,EQUITY,250,11,1,11,33,1,33
ABBOTINDIA,M1,EQUITY,500,9,1,9,27,1,27
ABBOTINDIA,M2,EQUITY,250,11,1,11,33,1,33
ABBOTINDIA,M2,EQUITY,500,9,1,9,27,1,27
ABBOTINDIA,M3,EQUITY,1000,4,1,4,12,1,12
ABBOTINDIA,M3,EQUITY,500,6,1,6,18,1,18
ABCAPITAL,M1,EQUITY,2.5,7,1,7,21,1,21
ABCAPITAL,M1,EQUITY,5,5,1,5,15,1,15
ABCAPITAL,M2,EQUITY,2.5,7,1,7,21,1,21
ABCAPITAL,M2,EQUITY,5,5,1,5,15,1,15
ABCAPITAL,M3,EQUITY,10,3,1,3,9,1,9
ABCAPITAL,M3,EQUITY,5,4,1,4,12,1,12
ABFRL,M1,EQUITY,2.5,8,1,8,24,1,24
ABFRL,M1,EQUITY,5,6,1,6,18,1,18
ABFRL,M2,EQUITY,2.5,8,1,8,24,1,24
ABFRL,M2,EQUITY,5,6,1,6,18,1,18
ABFRL,M3,EQUITY,10,3,1,3,9,1,9
ABFRL,M3,EQUITY,5,4,1,4,12,1,12
ACC,M1,EQUITY,20,12,1,12,36,1,36
ACC,M1,EQUITY,40,9,1,9,27,1,27
ACC,M2,EQUITY,20,12,1,12,36,1,36
ACC,M2,EQUITY,40,9,1,9,27,1,27
ACC,M3,EQUITY,80,5,1,5,15,1,15
ACC,M3,EQUITY,40,6,1,6,18,1,18
ADANIENT,M1,EQUITY,50,6,1,6,18,1,18
ADANIENT,M1,EQUITY,100,5,1,5,15,1,15
ADANIENT,M2,EQUITY,50,6,1,6,18,1,18
ADANIENT,M2,EQUITY,100,5,1,5,15,1,15
ADANIENT,M3,EQUITY,200,2,1,2,6,1,6
ADANIENT,M3,EQUITY,100,3,1,3,9,1,9
ADANIPORTS,M1,EQUITY,20,6,1,6,18,1,18
ADANIPORTS,M1,EQUITY,40,5,1,5,15,1,15
ADANIPORTS,M2,EQUITY,20,6,1,6,18,1,18
ADANIPORTS,M2,EQUITY,40,5,1,5,15,1,15
ADANIPORTS,M3,EQUITY,80,2,1,2,6,1,6
ADANIPORTS,M3,EQUITY,40,3,1,3,9,1,9
ALKEM,M1,EQUITY,50,10,1,10,30,1,30
ALKEM,M1,EQUITY,100,8,1,8,24,1,24
ALKEM,M2,EQUITY,50,10,1,10,30,1,30
ALKEM,M2,EQUITY,100,8,1,8,24,1,24
ALKEM,M3,EQUITY,200,4,1,4,12,1,12
ALKEM,M3,EQUITY,100,5,1,5,15,1,15
AMBUJACEM,M1,EQUITY,10,6,1,6,18,1,18
AMBUJACEM,M1,EQUITY,20,5,1,5,15,1,15
AMBUJACEM,M2,EQUITY,10,6,1,6,18,1,18
AMBUJACEM,M2,EQUITY,20,5,1,5,15,1,15
AMBUJACEM,M3,EQUITY,40,2,1,2,6,1,6
AMBUJACEM,M3,EQUITY,20,3,1,3,9,1,9
APOLLOHOSP,M1,EQUITY,50,12,1,12,36,1,36
APOLLOHOSP,M1,EQUITY,100,9,1,9,27,1,27
APOLLOHOSP,M2,EQUITY,50,12,1,12,36,1,36
APOLLOHOSP,M2,EQUITY,100,9,1,9,27,1,27
APOLLOHOSP,M3,EQUITY,200,5,1,5,15,1,15
APOLLOHOSP,M3,EQUITY,100,6,1,6,18,1,18
APOLLOTYRE,M1,EQUITY,5,10,1,10,30,1,30
APOLLOTYRE,M1,EQUITY,10,7,1,7,21,1,21
APOLLOTYRE,M2,EQUITY,5,10,1,10,30,1,30
APOLLOTYRE,M2,EQUITY,10,7,1,7,21,1,21
APOLLOTYRE,M3,EQUITY,20,4,1,4,12,1,12
APOLLOTYRE,M3,EQUITY,10,5,1,5,15,1,15
ASHOKLEY,M1,EQUITY,2.5,7,1,7,21,1,21
ASHOKLEY,M1,EQUITY,5,5,1,5,15,1,15
ASHOKLEY,M2,EQUITY,2.5,7,1,7,21,1,21
ASHOKLEY,M2,EQUITY,5,5,1,5,15,1,15
ASHOKLEY,M3,EQUITY,10,2,1,2,6,1,6
ASHOKLEY,M3,EQUITY,5,3,1,3,9,1,9
ASIANPAINT,M1,EQUITY,20,12,1,12,36,1,36
ASIANPAINT,M1,EQUITY,40,11,1,11,33,1,33
ASIANPAINT,M2,EQUITY,20,12,1,12,36,1,36
ASIANPAINT,M2,EQUITY,40,11,1,11,33,1,33
ASIANPAINT,M3,EQUITY,80,5,1,5,15,1,15
ASIANPAINT,M3,EQUITY,40,6,1,6,18,1,18
ASTRAL,M1,EQUITY,20,10,1,10,30,1,30
ASTRAL,M1,EQUITY,40,8,1,8,24,1,24
ASTRAL,M2,EQUITY,20,10,1,10,30,1,30
ASTRAL,M2,EQUITY,40,8,1,8,24,1,24
ASTRAL,M3,EQUITY,80,4,1,4,12,1,12
ASTRAL,M3,EQUITY,40,5,1,5,15,1,15
ATUL,M1,EQUITY,50,12,1,12,36,1,36
ATUL,M1,EQUITY,100,9,1,9,27,1,27
ATUL,M2,EQUITY,50,12,1,12,36,1,36
ATUL,M2,EQUITY,100,9,1,9,27,1,27
ATUL,M3,EQUITY,200,5,1,5,15,1,15
ATUL,M3,EQUITY,100,6,1,6,18,1,18
AUBANK,M1,EQUITY,5,12,1,12,36,1,36
AUBANK,M1,EQUITY,10,9,1,9,27,1,27
AUBANK,M2,EQUITY,5,12,1,12,36,1,36
AUBANK,M2,EQUITY,10,9,1,9,27,1,27
AUBANK,M3,EQUITY,20,4,1,4,12,1,12
AUBANK,M3,EQUITY,10,6,1,6,18,1,18
AUROPHARMA,M1,EQUITY,20,5,1,5,15,1,15
AUROPHARMA,M1,EQUITY,40,4,1,4,12,1,12
AUROPHARMA,M2,EQUITY,20,5,1,5,15,1,15
AUROPHARMA,M2,EQUITY,40,4,1,4,12,1,12
AUROPHARMA,M3,EQUITY,80,2,1,2,6,1,6
AUROPHARMA,M3,EQUITY,40,3,1,3,9,1,9
AXISBANK,M1,EQUITY,10,11,1,11,33,1,33
AXISBANK,M1,EQUITY,20,8,1,8,24,1,24
AXISBANK,M2,EQUITY,10,11,1,11,33,1,33
AXISBANK,M2,EQUITY,20,8,1,8,24,1,24
AXISBANK,M3,EQUITY,40,4,1,4,12,1,12
AXISBANK,M3,EQUITY,20,5,1,5,15,1,15
BAJAJ-AUTO,M1,EQUITY,100,8,1,8,24,1,24
BAJAJ-AUTO,M1,EQUITY,200,6,1,6,18,1,18
BAJAJ-AUTO,M2,EQUITY,100,8,1,8,24,1,24
BAJAJ-AUTO,M2,EQUITY,200,6,1,6,18,1,18
